file_name,max,min,one_sigma1,one_sigma2,outlier_cnt_mean,div60,peak,tail,date,class,label_first,label_second,label_third,label_fourth,real_label,log_label,cam
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/106_bioref_240_2_cam3.tif,28.895394444444445,28.797152777777786,28.865477915398355,28.817306899416472,20,28.47345030864196,4984338,43.0,190522,5,1,5.0,,,1405000.0,6.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/106_bioref_120_3_cam3.tif,26.642355555555554,26.556891666666665,26.616273425536672,26.577696481870746,23,22.91061908719141,5201784,39.0,190522,5,1,5.0,,,1405000.0,6.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/102_bioref_240_3_cam3.tif,25.89224166666667,25.875372222222214,25.88880724876457,25.879453399383568,24,1.6845010470679005,8269615,16.0,190522,1,0,,0.0,1.0,140.5,2.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/105_bioref_0_2_cam3.tif,26.30245833333333,26.26568888888889,26.289945832710853,26.27527092654841,20,3.651954224537037,7081998,22.0,190522,4,1,4.0,,,140500.0,5.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/106_bioref_0_3_cam3.tif,29.41033611111111,29.31999444444445,29.37766603727431,29.33723451828125,23,18.95769335185179,3792250,60.0,190522,5,1,5.0,,,1405000.0,6.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/106_bioref_120_2_cam3.tif,26.624744444444445,26.532072222222233,26.598970336997766,26.558958366705948,18,23.123175368827162,5074818,42.0,190522,5,1,5.0,,,1405000.0,6.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/101_bioref_240_3_cam3.tif,25.402938888888887,25.37868611111111,25.39572156960737,25.38574167113338,18,1.6840432152777731,8307210,17.0,190522,0,0,,0.0,0.0,9.5,0.9777236052888476,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/105_bioref_120_2_cam3.tif,27.18121666666667,27.142663888888887,27.17313216617764,27.155082463452,19,4.204317856481479,6920066,24.0,190522,4,1,4.0,,,140500.0,5.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/104_bioref_0_3_cam3.tif,29.16693333333333,29.138527777777767,29.162161851018663,29.150560093425774,20,2.199871406635802,7835710,20.0,190522,3,0,,1.0,,14050.0,4.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/102_bioref_120_2_cam3.tif,26.632891666666666,26.607641666666666,26.62650696166997,26.616111186478186,14,1.7875861959876562,8196292,17.0,190522,1,0,,0.0,1.0,140.5,2.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/106_bioref_0_1_cam3.tif,29.368413888888888,29.28270833333333,29.337434548054684,29.29876628527865,16,17.496072074845692,3882575,54.0,190522,5,1,5.0,,,1405000.0,6.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/102_bioref_120_3_cam3.tif,26.583922222222213,26.56044444444445,26.57802515378457,26.56713392028951,18,1.7673295771604924,8203409,15.0,190522,1,0,,0.0,1.0,140.5,2.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/105_bioref_240_1_cam3.tif,26.02026111111111,25.974888888888888,26.009109030728002,25.988180598901643,24,3.8917127376543146,7678992,20.0,190522,4,1,4.0,,,140500.0,5.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_240_2_cam3.tif,29.25336666666667,28.99131944444445,29.19227635396041,29.06610809048405,22,179.14050358641978,1758716,150.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_120_1_cam3.tif,31.60724444444445,31.342305555555555,31.537659373011238,31.42534025661839,15,200.542782939815,1476284,181.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/105_bioref_0_3_cam3.tif,26.317647222222234,26.288916666666665,26.3081922542342,26.29437441243247,19,3.7135256111111175,7058814,22.0,190522,4,1,4.0,,,140500.0,5.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/104_bioref_0_1_cam3.tif,29.15166111111111,29.127291666666668,29.145322170759158,29.13495755146305,20,2.3019846828703723,7808050,19.0,190522,3,0,,1.0,,14050.0,4.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_0_1_cam3.tif,30.675902777777786,30.49643333333333,30.627270600848032,30.550324676929744,17,84.29365579089517,1777639,122.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/104_bioref_240_3_cam3.tif,27.880625,27.852025,27.87299273962807,27.85996124185341,23,2.0208523834876524,8021410,18.0,190522,3,0,,1.0,,14050.0,4.1476763242410986,cam3
